veri_seti,model,senaryo,fold,seed,accuracy,precision,recall,f1,n,pozitif,roc_auc,pr_auc
SKAB,gru,orijinal,0,7,0.9434219495569189,0.9168278529980658,0.9221789883268483,0.9194956353055286,1467,514,0.9580640288092895,0.9593396340331642
SKAB,gru,gurultu,0,7,0.9154737559645535,0.8482142857142857,0.9241245136186771,0.8845437616387337,1467,514,0.9548752454873204,0.9553769035275168
SKAB,gru,unseen,0,7,0.9550102249488752,0.948,0.9221789883268483,0.9349112426035503,1467,514,0.95966250341947,0.9619098688857636
SKAB,cnn1d,orijinal,0,7,0.9175187457396047,0.8453427065026362,0.9357976653696498,0.8882733148661126,1467,514,0.9592113375333271,0.9524760743538517
SKAB,cnn1d,gurultu,0,7,0.8650306748466258,0.7438271604938271,0.9377431906614786,0.8296041308089501,1467,514,0.9520375957961955,0.9446628026546195
SKAB,cnn1d,unseen,0,7,0.923653715064758,0.8589285714285714,0.9357976653696498,0.8957169459962756,1467,514,0.9589326762507094,0.9521283235913498
SKAB,lstm,orijinal,0,999,0.9250170415814588,0.8646209386281588,0.9319066147859922,0.897003745318352,1467,514,0.9524908031569365,0.955077743832967
SKAB,lstm,gurultu,0,999,0.9175187457396047,0.8465608465608465,0.933852140077821,0.8880666049953746,1467,514,0.9537728492044373,0.9545270640903766
SKAB,lstm,unseen,0,999,0.9256987048398091,0.867513611615245,0.9299610894941635,0.8976525821596244,1467,514,0.9521907063910404,0.9557073751492188
SKAB,gru,orijinal,0,999,0.9059304703476483,0.8197278911564626,0.9377431906614786,0.8747731397459165,1467,514,0.9554488998493391,0.9570001715763992
SKAB,gru,gurultu,0,999,0.8711656441717791,0.7535101404056163,0.9396887159533074,0.8363636363636363,1467,514,0.9554284851033599,0.9548299700002968
SKAB,gru,unseen,0,999,0.9311520109066121,0.8775137111517367,0.933852140077821,0.9048067860508954,1467,514,0.954554733975445,0.9584212273302511
SKAB,cnn1d,orijinal,0,999,0.9168370824812543,0.8402777777777778,0.9416342412451362,0.8880733944954129,1467,514,0.9589408421491011,0.9487021636579706
SKAB,cnn1d,gurultu,0,999,0.8438991138377642,0.7104874446085672,0.9357976653696498,0.8077246011754828,1467,514,0.9482088101877748,0.9373934916092964
SKAB,cnn1d,unseen,0,999,0.9147920927062031,0.8347676419965576,0.943579766536965,0.8858447488584474,1467,514,0.9586846370870606,0.9429321194415892
SKAB,automata,orijinal,1,-1,0.352026286966046,0.352026286966046,1.0,0.5207388204795852,4565,1607,0.37848821480397843,0.29562311570272093
SKAB,automata,gurultu,1,-1,0.352026286966046,0.352026286966046,1.0,0.5207388204795852,4565,1607,0.40720891064405934,0.3032052581423364
SKAB,automata,unseen,1,-1,0.352026286966046,0.352026286966046,1.0,0.5207388204795852,4565,1607,0.42362595103487827,0.3183046984326432
SKAB,lstm,orijinal,1,42,0.8759221998658618,0.7897350993377483,0.891588785046729,0.8375768217734855,1491,535,0.9446642943729714,0.9417488723485381
SKAB,lstm,gurultu,1,42,0.8725687458081824,0.7948717948717948,0.8691588785046729,0.8303571428571429,1491,535,0.9389883861885582,0.9372217998980361
SKAB,lstm,unseen,1,42,0.8685446009389671,0.7810945273631841,0.8803738317757009,0.827768014059754,1491,535,0.9393109920619404,0.9365280950817549
SKAB,gru,orijinal,1,42,0.9094567404426559,0.8937007874015748,0.8485981308411215,0.8705656759348035,1491,535,0.9423552183944004,0.9423439897506178
SKAB,gru,gurultu,1,42,0.89738430583501,0.8673076923076923,0.8429906542056075,0.8549763033175355,1491,535,0.9338716615180073,0.934873759340542
SKAB,gru,unseen,1,42,0.9282360831656606,0.9755555555555555,0.8205607476635514,0.8913705583756345,1491,535,0.9369041567277989,0.9377591882797943
SKAB,cnn1d,orijinal,1,42,0.9282360831656606,0.9514767932489452,0.8429906542056075,0.8939544103072349,1491,535,0.9489813475149571,0.949681323415032
SKAB,cnn1d,gurultu,1,42,0.9188464118041583,0.9294605809128631,0.8373831775700935,0.8810226155358899,1491,535,0.9333603800883745,0.9351294508628945
SKAB,cnn1d,unseen,1,42,0.9302481556002683,0.9757174392935982,0.8261682242990654,0.8947368421052632,1491,535,0.9494584131701402,0.9501742634399105
SKAB,lstm,orijinal,1,123,0.892018779342723,0.829225352112676,0.8803738317757009,0.8540344514959202,1491,535,0.9401575880811794,0.941422238279897
SKAB,lstm,gurultu,1,123,0.8853118712273642,0.8273381294964028,0.8598130841121495,0.843263061411549,1491,535,0.9337484847299887,0.935839207113371
SKAB,lstm,unseen,1,123,0.8987256874580818,0.8582089552238806,0.8598130841121495,0.8590102707749766,1491,535,0.9329253509560864,0.9347912882637965
SKAB,gru,orijinal,1,123,0.8893360160965795,0.8339350180505415,0.8635514018691589,0.8484848484848485,1491,535,0.9441246627302233,0.9417455256478868
SKAB,gru,gurultu,1,123,0.8759221998658618,0.8080985915492958,0.8579439252336448,0.8322756119673618,1491,535,0.9346752434207954,0.9329526840667604
SKAB,gru,unseen,1,123,0.8792756539235412,0.822141560798548,0.8467289719626169,0.8342541436464088,1491,535,0.9345305595745512,0.9334399468255119
SKAB,cnn1d,orijinal,1,123,0.892018779342723,0.8280701754385965,0.8822429906542056,0.8542986425339366,1491,535,0.9426260118093301,0.9427258247492304
SKAB,cnn1d,gurultu,1,123,0.8732394366197183,0.8003472222222222,0.8616822429906542,0.8298829882988299,1491,535,0.9336096664450787,0.9340576433809583
SKAB,cnn1d,unseen,1,123,0.9081153588195842,0.8901960784313725,0.8485981308411215,0.8688995215311005,1491,535,0.9429877214249404,0.942977343922559
SKAB,lstm,orijinal,1,2026,0.8786049631120053,0.8183453237410072,0.8504672897196262,0.8340971585701191,1491,535,0.9373264771438629,0.9379174113845808
SKAB,lstm,gurultu,1,2026,0.8739101274312542,0.8126126126126126,0.8429906542056075,0.8275229357798165,1491,535,0.9305673952997302,0.9325699157302068
SKAB,lstm,unseen,1,2026,0.9087860496311201,0.936542669584245,0.8,0.8629032258064516,1491,535,0.930287803542799,0.930671642926789
SKAB,gru,orijinal,1,2026,0.8993963782696177,0.8652751423149905,0.8523364485981308,0.8587570621468926,1491,535,0.9393364094943886,0.9406877909177976
SKAB,gru,gurultu,1,2026,0.8853118712273642,0.8357933579335793,0.8467289719626169,0.841225626740947,1491,535,0.9308841356117782,0.9336800872086172
SKAB,gru,unseen,1,2026,0.903420523138833,0.8871287128712871,0.8373831775700935,0.8615384615384616,1491,535,0.934221640010949,0.9364237539913303
SKAB,cnn1d,orijinal,1,2026,0.9295774647887324,0.9387755102040817,0.8598130841121495,0.8975609756097561,1491,535,0.9471708442497947,0.9478383301424986
